date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:01:58	4059/4059	U-----	200	untouched ('')	image/jpeg	date:Sat,%2022%20Apr%202017%2017:19:27%20GMT	https://beverleybeaversbadminton.club/system/asset_management/assets/assets/000/000/012/thumb/Matty_and_Emma.jpg?1469371059	/Users/davealmond/websites/Badders/beverleybeaversbadminton.club/system/asset_management/assets/assets/000/000/012/thumb/Matty_and_Emma673d.jpg	(from https://beverleybeaversbadminton.club/gallery)
20:01:58	61286/61286	U-----	200	untouched ('')	image/jpeg	date:Sat,%2022%20Apr%202017%2017:19:26%20GMT	https://beverleybeaversbadminton.club/system/asset_management/assets/assets/000/000/011/full/Mark_and_Heather.jpg?1469371058	/Users/davealmond/websites/Badders/beverleybeaversbadminton.club/system/asset_management/assets/assets/000/000/011/full/Mark_and_Heather58f0.jpg	(from https://beverleybeaversbadminton.club/gallery)
20:02:03	2969/2969	U-----	200	untouched ('')	image/jpeg	date:Sat,%2022%20Apr%202017%2017:19:27%20GMT	https://beverleybeaversbadminton.club/system/asset_management/assets/assets/000/000/011/thumb/Mark_and_Heather.jpg?1469371058	/Users/davealmond/websites/Badders/beverleybeaversbadminton.club/system/asset_management/assets/assets/000/000/011/thumb/Mark_and_Heather58f0.jpg	(from https://beverleybeaversbadminton.club/gallery)
20:02:26	165997/165997	U-----	200	untouched ('')	image/jpeg	date:Sat,%2022%20Apr%202017%2017:19:29%20GMT	https://beverleybeaversbadminton.club/system/asset_management/assets/assets/000/000/014/full/winners-ali-runnersup.jpg?1469371063	/Users/davealmond/websites/Badders/beverleybeaversbadminton.club/system/asset_management/assets/assets/000/000/014/full/winners-ali-runnersup8b84.jpg	(from https://beverleybeaversbadminton.club/gallery)
20:02:26	7306/7306	U-----	200	untouched ('')	image/jpeg	date:Sat,%2022%20Apr%202017%2017:19:29%20GMT	https://beverleybeaversbadminton.club/system/asset_management/assets/assets/000/000/014/thumb/winners-ali-runnersup.jpg?1469371063	/Users/davealmond/websites/Badders/beverleybeaversbadminton.club/system/asset_management/assets/assets/000/000/014/thumb/winners-ali-runnersup8b84.jpg	(from https://beverleybeaversbadminton.club/gallery)
20:02:26	31465/31465	U-----	200	untouched ('')	image/jpeg	date:Sat,%2020%20May%202017%2018:51:47%20GMT	https://beverleybeaversbadminton.club/system/asset_management/assets/assets/000/000/026/full/DSC_0009-3.JPG?1495306306	/Users/davealmond/websites/Badders/beverleybeaversbadminton.club/system/asset_management/assets/assets/000/000/026/full/DSC_0009-32118.jpg	(from https://beverleybeaversbadminton.club/gallery)
20:02:30	4579/4579	U-----	200	untouched ('')	image/jpeg	date:Sat,%2020%20May%202017%2018:51:46%20GMT	https://beverleybeaversbadminton.club/system/asset_management/assets/assets/000/000/026/thumb/DSC_0009-3.JPG?1495306306	/Users/davealmond/websites/Badders/beverleybeaversbadminton.club/system/asset_management/assets/assets/000/000/026/thumb/DSC_0009-32118.jpg	(from https://beverleybeaversbadminton.club/gallery)
20:02:53	30631/30631	U-----	200	untouched ('')	image/jpeg	date:Sat,%2020%20May%202017%2018:51:47%20GMT	https://beverleybeaversbadminton.club/system/asset_management/assets/assets/000/000/027/full/DSC_0016.JPG?1495306307	/Users/davealmond/websites/Badders/beverleybeaversbadminton.club/system/asset_management/assets/assets/000/000/027/full/DSC_0016ddb4.jpg	(from https://beverleybeaversbadminton.club/gallery)
20:02:53	4312/4312	U-----	200	untouched ('')	image/jpeg	date:Sat,%2020%20May%202017%2018:51:47%20GMT	https://beverleybeaversbadminton.club/system/asset_management/assets/assets/000/000/027/thumb/DSC_0016.JPG?1495306307	/Users/davealmond/websites/Badders/beverleybeaversbadminton.club/system/asset_management/assets/assets/000/000/027/thumb/DSC_0016ddb4.jpg	(from https://beverleybeaversbadminton.club/gallery)
20:02:53	45103/45103	U-----	200	untouched ('')	image/jpeg	date:Sat,%2020%20May%202017%2018:51:48%20GMT	https://beverleybeaversbadminton.club/system/asset_management/assets/assets/000/000/028/full/IMG_0208.JPG?1495306307	/Users/davealmond/websites/Badders/beverleybeaversbadminton.club/system/asset_management/assets/assets/000/000/028/full/IMG_0208ddb4.jpg	(from https://beverleybeaversbadminton.club/gallery)
